Obs,gender,age,romance,scifi,horror,drama,family,action,mystery,comedy,sports
154,M,35,y,n,n,n,n,n,n,n,n
155,M,35,y,n,n,n,n,n,n,n,n
156,M,35,y,n,n,n,n,n,n,n,n
157,M,35,y,n,n,n,n,n,n,n,n
158,M,35,y,n,n,n,n,n,n,n,n
159,M,35,y,n,n,n,n,n,n,n,n
160,M,35,y,n,n,n,n,n,n,n,n
161,M,35,y,n,n,n,n,n,n,n,n
162,M,35,y,n,n,n,n,n,n,n,n
163,M,35,y,n,n,n,n,n,n,n,n
164,M,35,y,n,n,n,n,n,n,n,n
165,M,35,y,n,n,n,n,n,n,n,n
166,M,35,y,n,n,n,n,n,n,n,n
167,M,35,n,n,y,n,n,n,n,n,n
168,M,35,n,n,y,n,n,n,n,n,n
169,M,35,n,n,y,n,n,n,n,n,n
170,M,35,n,n,y,n,n,n,n,n,n
171,M,35,n,n,y,n,n,n,n,n,n
172,M,35,n,n,y,n,n,n,n,n,n
173,M,35,n,n,n,y,n,n,n,n,n
174,M,35,n,n,n,y,n,n,n,n,n
175,M,35,n,n,n,y,n,n,n,n,n
176,M,35,n,n,n,y,n,n,n,n,n
177,M,35,n,n,n,y,n,n,n,n,n
178,M,35,n,n,n,y,n,n,n,n,n
179,M,35,n,n,n,y,n,n,n,n,n
180,M,35,n,n,n,y,n,n,n,n,n
181,M,35,n,n,n,y,n,n,n,n,n
182,M,35,n,n,n,y,n,n,n,n,n
183,M,35,n,n,n,y,n,n,n,n,n
184,M,35,n,n,n,y,n,n,n,n,n
185,M,35,n,n,n,y,n,n,n,n,n
186,M,35,n,n,n,y,n,n,n,n,n
187,M,35,n,n,n,y,n,n,n,n,n
188,M,35,n,n,n,y,n,n,n,n,n
189,M,35,n,n,n,y,n,n,n,n,n
190,M,35,n,n,n,y,n,n,n,n,n
191,M,35,n,n,n,y,n,n,n,n,n
192,M,35,n,n,n,y,n,n,n,n,n
193,M,35,n,n,n,y,n,n,n,n,n
194,M,35,n,n,n,y,n,n,n,n,n
195,M,35,n,n,n,y,n,n,n,n,n
196,M,35,n,n,n,y,n,n,n,n,n
197,M,35,n,n,n,n,y,n,n,n,n
198,M,35,n,n,n,n,y,n,n,n,n
199,M,35,n,n,n,n,n,y,n,n,n
200,M,35,n,n,n,n,n,y,n,n,n
201,M,35,n,n,n,n,n,y,n,n,n
202,M,35,n,n,n,n,n,y,n,n,n
203,M,35,n,n,n,n,n,y,n,n,n
204,M,35,n,n,n,n,n,n,y,n,n
205,M,35,n,n,n,n,n,n,n,y,n
206,M,35,n,n,n,n,n,n,n,y,n
207,M,35,n,n,n,n,n,n,n,n,y
208,M,35,n,n,n,n,n,n,n,n,y
209,M,35,n,n,n,n,n,n,n,n,y
210,M,35,n,n,n,n,n,n,n,n,y
211,M,35,n,n,n,n,n,n,n,n,y
212,M,40,y,n,n,n,n,n,n,n,n
213,M,40,y,n,n,n,n,n,n,n,n
214,M,40,y,n,n,n,n,n,n,n,n
215,M,40,y,n,n,n,n,n,n,n,n
216,M,40,y,n,n,n,n,n,n,n,n
217,M,40,y,n,n,n,n,n,n,n,n
218,M,40,y,n,n,n,n,n,n,n,n
219,M,40,y,n,n,n,n,n,n,n,n
220,M,40,y,n,n,n,n,n,n,n,n
221,M,40,y,n,n,n,n,n,n,n,n
222,M,40,y,n,n,n,n,n,n,n,n
223,M,40,y,n,n,n,n,n,n,n,n
224,M,40,y,n,n,n,n,n,n,n,n
225,M,40,y,n,n,n,n,n,n,n,n
226,M,40,y,n,n,n,n,n,n,n,n
227,M,40,y,n,n,n,n,n,n,n,n
228,M,40,y,n,n,n,n,n,n,n,n
229,M,40,n,n,y,n,n,n,n,n,n
230,M,40,n,n,y,n,n,n,n,n,n
231,M,40,n,n,y,n,n,n,n,n,n
232,M,40,n,n,y,n,n,n,n,n,n
233,M,40,n,n,y,n,n,n,n,n,n
234,M,40,n,n,n,y,n,n,n,n,n
235,M,40,n,n,n,y,n,n,n,n,n
236,M,40,n,n,n,y,n,n,n,n,n
237,M,40,n,n,n,y,n,n,n,n,n
238,M,40,n,n,n,y,n,n,n,n,n
239,M,40,n,n,n,y,n,n,n,n,n
240,M,40,n,n,n,y,n,n,n,n,n
241,M,40,n,n,n,y,n,n,n,n,n
242,M,40,n,n,n,y,n,n,n,n,n
243,M,40,n,n,n,y,n,n,n,n,n
244,M,40,n,n,n,y,n,n,n,n,n
245,M,40,n,n,n,y,n,n,n,n,n
246,M,40,n,n,n,y,n,n,n,n,n
247,M,40,n,n,n,y,n,n,n,n,n
248,M,40,n,n,n,y,n,n,n,n,n
249,M,40,n,n,n,y,n,n,n,n,n
250,M,40,n,n,n,y,n,n,n,n,n
251,M,40,n,n,n,y,n,n,n,n,n
252,M,40,n,n,n,y,n,n,n,n,n
253,M,40,n,n,n,y,n,n,n,n,n
254,M,40,n,n,n,y,n,n,n,n,n
255,M,40,n,n,n,y,n,n,n,n,n
256,M,40,n,n,n,y,n,n,n,n,n
257,M,40,n,n,n,n,y,n,n,n,n
258,M,40,n,n,n,n,y,n,n,n,n
259,M,40,n,n,n,n,n,y,n,n,n
260,M,40,n,n,n,n,n,y,n,n,n
261,M,40,n,n,n,n,n,y,n,n,n
262,M,40,n,n,n,n,n,y,n,n,n
263,M,40,n,n,n,n,n,y,n,n,n
264,M,40,n,n,n,n,n,n,y,n,n
265,M,40,n,n,n,n,n,n,n,y,n
266,M,40,n,n,n,n,n,n,n,n,y
267,M,40,n,n,n,n,n,n,n,n,y
268,M,40,n,n,n,n,n,n,n,n,y
269,M,40,n,n,n,n,n,n,n,n,y
270,M,45,y,n,n,n,n,n,n,n,n
271,M,45,y,n,n,n,n,n,n,n,n
272,M,45,y,n,n,n,n,n,n,n,n
273,M,45,y,n,n,n,n,n,n,n,n
274,M,45,y,n,n,n,n,n,n,n,n
275,M,45,y,n,n,n,n,n,n,n,n
276,M,45,y,n,n,n,n,n,n,n,n
277,M,45,y,n,n,n,n,n,n,n,n
278,M,45,y,n,n,n,n,n,n,n,n
279,M,45,y,n,n,n,n,n,n,n,n
280,M,45,y,n,n,n,n,n,n,n,n
281,M,45,y,n,n,n,n,n,n,n,n
282,M,45,y,n,n,n,n,n,n,n,n
283,M,45,y,n,n,n,n,n,n,n,n
284,M,45,y,n,n,n,n,n,n,n,n
285,M,45,y,n,n,n,n,n,n,n,n
286,M,45,n,y,n,n,n,n,n,n,n
287,M,45,n,n,y,n,n,n,n,n,n
288,M,45,n,n,y,n,n,n,n,n,n
289,M,45,n,n,y,n,n,n,n,n,n
290,M,45,n,n,y,n,n,n,n,n,n
291,M,45,n,n,n,y,n,n,n,n,n
292,M,45,n,n,n,y,n,n,n,n,n
293,M,45,n,n,n,y,n,n,n,n,n
294,M,45,n,n,n,y,n,n,n,n,n
295,M,45,n,n,n,y,n,n,n,n,n
296,M,45,n,n,n,y,n,n,n,n,n
297,M,45,n,n,n,y,n,n,n,n,n
298,M,45,n,n,n,y,n,n,n,n,n
299,M,45,n,n,n,y,n,n,n,n,n
300,M,45,n,n,n,y,n,n,n,n,n
301,M,45,n,n,n,y,n,n,n,n,n
302,M,45,n,n,n,y,n,n,n,n,n
303,M,45,n,n,n,y,n,n,n,n,n
304,M,45,n,n,n,y,n,n,n,n,n
305,M,45,n,n,n,y,n,n,n,n,n
306,M,45,n,n,n,y,n,n,n,n,n
307,M,45,n,n,n,y,n,n,n,n,n
308,M,45,n,n,n,y,n,n,n,n,n
309,M,45,n,n,n,y,n,n,n,n,n
310,M,45,n,n,n,y,n,n,n,n,n
311,M,45,n,n,n,y,n,n,n,n,n
312,M,45,n,n,n,y,n,n,n,n,n
313,M,45,n,n,n,y,n,n,n,n,n
314,M,45,n,n,n,y,n,n,n,n,n
315,M,45,n,n,n,y,n,n,n,n,n
316,M,45,n,n,n,n,y,n,n,n,n
317,M,45,n,n,n,n,n,y,n,n,n
318,M,45,n,n,n,n,n,y,n,n,n
319,M,45,n,n,n,n,n,y,n,n,n
320,M,45,n,n,n,n,n,y,n,n,n
321,M,45,n,n,n,n,n,y,n,n,n
322,M,45,n,n,n,n,n,y,n,n,n
323,M,45,n,n,n,n,n,n,y,n,n
324,M,45,n,n,n,n,n,n,n,y,n
325,M,45,n,n,n,n,n,n,n,y,n
326,M,45,n,n,n,n,n,n,n,n,y
327,M,45,n,n,n,n,n,n,n,n,y
328,M,45,n,n,n,n,n,n,n,n,y
329,M,50,y,n,n,n,n,n,n,n,n
330,M,50,y,n,n,n,n,n,n,n,n
331,M,50,y,n,n,n,n,n,n,n,n
332,M,50,y,n,n,n,n,n,n,n,n
333,M,50,y,n,n,n,n,n,n,n,n
334,M,50,y,n,n,n,n,n,n,n,n
335,M,50,y,n,n,n,n,n,n,n,n
336,M,50,y,n,n,n,n,n,n,n,n
337,M,50,y,n,n,n,n,n,n,n,n
338,M,50,y,n,n,n,n,n,n,n,n
339,M,50,y,n,n,n,n,n,n,n,n
340,M,50,y,n,n,n,n,n,n,n,n
341,M,50,y,n,n,n,n,n,n,n,n
342,M,50,y,n,n,n,n,n,n,n,n
343,M,50,n,y,n,n,n,n,n,n,n
344,M,50,n,n,y,n,n,n,n,n,n
345,M,50,n,n,y,n,n,n,n,n,n
346,M,50,n,n,y,n,n,n,n,n,n
347,M,50,n,n,n,y,n,n,n,n,n
348,M,50,n,n,n,y,n,n,n,n,n
349,M,50,n,n,n,y,n,n,n,n,n
350,M,50,n,n,n,y,n,n,n,n,n
351,M,50,n,n,n,y,n,n,n,n,n
352,M,50,n,n,n,y,n,n,n,n,n
353,M,50,n,n,n,y,n,n,n,n,n
354,M,50,n,n,n,y,n,n,n,n,n
355,M,50,n,n,n,y,n,n,n,n,n
356,M,50,n,n,n,y,n,n,n,n,n
357,M,50,n,n,n,y,n,n,n,n,n
358,M,50,n,n,n,y,n,n,n,n,n
359,M,50,n,n,n,y,n,n,n,n,n
360,M,50,n,n,n,y,n,n,n,n,n
361,M,50,n,n,n,y,n,n,n,n,n
362,M,50,n,n,n,y,n,n,n,n,n
363,M,50,n,n,n,y,n,n,n,n,n
364,M,50,n,n,n,y,n,n,n,n,n
365,M,50,n,n,n,y,n,n,n,n,n
366,M,50,n,n,n,y,n,n,n,n,n
367,M,50,n,n,n,y,n,n,n,n,n
368,M,50,n,n,n,y,n,n,n,n,n
369,M,50,n,n,n,y,n,n,n,n,n
370,M,50,n,n,n,y,n,n,n,n,n
371,M,50,n,n,n,n,y,n,n,n,n
372,M,50,n,n,n,n,y,n,n,n,n
373,M,50,n,n,n,n,n,y,n,n,n
374,M,50,n,n,n,n,n,y,n,n,n
375,M,50,n,n,n,n,n,y,n,n,n
376,M,50,n,n,n,n,n,y,n,n,n
377,M,50,n,n,n,n,n,n,y,n,n
378,M,50,n,n,n,n,n,n,n,y,n
379,M,50,n,n,n,n,n,n,n,n,y
380,M,50,n,n,n,n,n,n,n,n,y
381,M,50,n,n,n,n,n,n,n,n,y
382,M,55,y,n,n,n,n,n,n,n,n
383,M,55,y,n,n,n,n,n,n,n,n
384,M,55,y,n,n,n,n,n,n,n,n
385,M,55,y,n,n,n,n,n,n,n,n
386,M,55,y,n,n,n,n,n,n,n,n
387,M,55,y,n,n,n,n,n,n,n,n
388,M,55,y,n,n,n,n,n,n,n,n
389,M,55,y,n,n,n,n,n,n,n,n
390,M,55,y,n,n,n,n,n,n,n,n
391,M,55,n,y,n,n,n,n,n,n,n
392,M,55,n,n,y,n,n,n,n,n,n
393,M,55,n,n,n,y,n,n,n,n,n
394,M,55,n,n,n,y,n,n,n,n,n
395,M,55,n,n,n,y,n,n,n,n,n
396,M,55,n,n,n,y,n,n,n,n,n
397,M,55,n,n,n,y,n,n,n,n,n
398,M,55,n,n,n,y,n,n,n,n,n
399,M,55,n,n,n,y,n,n,n,n,n
400,M,55,n,n,n,y,n,n,n,n,n
401,M,55,n,n,n,y,n,n,n,n,n
402,M,55,n,n,n,y,n,n,n,n,n
403,M,55,n,n,n,y,n,n,n,n,n
404,M,55,n,n,n,y,n,n,n,n,n
405,M,55,n,n,n,y,n,n,n,n,n
406,M,55,n,n,n,y,n,n,n,n,n
407,M,55,n,n,n,y,n,n,n,n,n
408,M,55,n,n,n,y,n,n,n,n,n
409,M,55,n,n,n,y,n,n,n,n,n
410,M,55,n,n,n,y,n,n,n,n,n
411,M,55,n,n,n,n,y,n,n,n,n
412,M,55,n,n,n,n,n,y,n,n,n
413,M,55,n,n,n,n,n,y,n,n,n
414,M,55,n,n,n,n,n,y,n,n,n
415,M,55,n,n,n,n,n,n,y,n,n
416,M,55,n,n,n,n,n,n,n,y,n
417,M,55,n,n,n,n,n,n,n,n,y
418,M,60,y,n,n,n,n,n,n,n,n
419,M,60,y,n,n,n,n,n,n,n,n
420,M,60,y,n,n,n,n,n,n,n,n
421,M,60,y,n,n,n,n,n,n,n,n
422,M,60,y,n,n,n,n,n,n,n,n
423,M,60,y,n,n,n,n,n,n,n,n
424,M,60,y,n,n,n,n,n,n,n,n
425,M,60,y,n,n,n,n,n,n,n,n
426,M,60,y,n,n,n,n,n,n,n,n
427,M,60,n,y,n,n,n,n,n,n,n
428,M,60,n,n,y,n,n,n,n,n,n
429,M,60,n,n,n,y,n,n,n,n,n
430,M,60,n,n,n,y,n,n,n,n,n
431,M,60,n,n,n,y,n,n,n,n,n
432,M,60,n,n,n,y,n,n,n,n,n
433,M,60,n,n,n,y,n,n,n,n,n
434,M,60,n,n,n,y,n,n,n,n,n
435,M,60,n,n,n,y,n,n,n,n,n
436,M,60,n,n,n,y,n,n,n,n,n
437,M,60,n,n,n,y,n,n,n,n,n
438,M,60,n,n,n,y,n,n,n,n,n
439,M,60,n,n,n,y,n,n,n,n,n
440,M,60,n,n,n,y,n,n,n,n,n
441,M,60,n,n,n,y,n,n,n,n,n
442,M,60,n,n,n,y,n,n,n,n,n
443,M,60,n,n,n,y,n,n,n,n,n
444,M,60,n,n,n,y,n,n,n,n,n
445,M,60,n,n,n,y,n,n,n,n,n
446,M,60,n,n,n,y,n,n,n,n,n
447,M,60,n,n,n,y,n,n,n,n,n
448,M,60,n,n,n,y,n,n,n,n,n
449,M,60,n,n,n,y,n,n,n,n,n
450,M,60,n,n,n,y,n,n,n,n,n
451,M,60,n,n,n,y,n,n,n,n,n
452,M,60,n,n,n,n,y,n,n,n,n
453,M,60,n,n,n,n,y,n,n,n,n
454,M,60,n,n,n,n,n,y,n,n,n
455,M,60,n,n,n,n,n,y,n,n,n
456,M,60,n,n,n,n,n,y,n,n,n
457,M,60,n,n,n,n,n,n,y,n,n
458,M,60,n,n,n,n,n,n,n,y,n
459,M,60,n,n,n,n,n,n,n,y,n
460,M,60,n,n,n,n,n,n,n,n,y
461,M,60,n,n,n,n,n,n,n,n,y
462,M,65,y,n,n,n,n,n,n,n,n
463,M,65,y,n,n,n,n,n,n,n,n
464,M,65,y,n,n,n,n,n,n,n,n
465,M,65,y,n,n,n,n,n,n,n,n
466,M,65,y,n,n,n,n,n,n,n,n
467,M,65,y,n,n,n,n,n,n,n,n
468,M,65,y,n,n,n,n,n,n,n,n
469,M,65,y,n,n,n,n,n,n,n,n
470,M,65,y,n,n,n,n,n,n,n,n
471,M,65,n,y,n,n,n,n,n,n,n
472,M,65,n,n,y,n,n,n,n,n,n
473,M,65,n,n,n,y,n,n,n,n,n
474,M,65,n,n,n,y,n,n,n,n,n
475,M,65,n,n,n,y,n,n,n,n,n
476,M,65,n,n,n,y,n,n,n,n,n
477,M,65,n,n,n,y,n,n,n,n,n
478,M,65,n,n,n,y,n,n,n,n,n
479,M,65,n,n,n,y,n,n,n,n,n
480,M,65,n,n,n,y,n,n,n,n,n
481,M,65,n,n,n,y,n,n,n,n,n
482,M,65,n,n,n,y,n,n,n,n,n
483,M,65,n,n,n,y,n,n,n,n,n
484,M,65,n,n,n,y,n,n,n,n,n
485,M,65,n,n,n,y,n,n,n,n,n
486,M,65,n,n,n,y,n,n,n,n,n
487,M,65,n,n,n,y,n,n,n,n,n
488,M,65,n,n,n,y,n,n,n,n,n
489,M,65,n,n,n,y,n,n,n,n,n
490,M,65,n,n,n,y,n,n,n,n,n
491,M,65,n,n,n,y,n,n,n,n,n
492,M,65,n,n,n,y,n,n,n,n,n
493,M,65,n,n,n,y,n,n,n,n,n
494,M,65,n,n,n,y,n,n,n,n,n
495,M,65,n,n,n,y,n,n,n,n,n
496,M,65,n,n,n,y,n,n,n,n,n
497,M,65,n,n,n,y,n,n,n,n,n
498,M,65,n,n,n,n,y,n,n,n,n
499,M,65,n,n,n,n,n,y,n,n,n
500,M,65,n,n,n,n,n,y,n,n,n
501,M,65,n,n,n,n,n,y,n,n,n
502,M,65,n,n,n,n,n,n,y,n,n
503,M,65,n,n,n,n,n,n,n,y,n
504,M,65,n,n,n,n,n,n,n,y,n
505,M,65,n,n,n,n,n,n,n,n,y
506,M,65,n,n,n,n,n,n,n,n,y
507,F,20,y,n,n,n,n,n,n,n,n
508,F,20,y,n,n,n,n,n,n,n,n
509,F,20,y,n,n,n,n,n,n,n,n
510,F,20,y,n,n,n,n,n,n,n,n
511,F,20,y,n,n,n,n,n,n,n,n
512,F,20,y,n,n,n,n,n,n,n,n
513,F,20,y,n,n,n,n,n,n,n,n
514,F,20,y,n,n,n,n,n,n,n,n
515,F,20,y,n,n,n,n,n,n,n,n
516,F,20,n,y,n,n,n,n,n,n,n
517,F,20,n,n,y,n,n,n,n,n,n
518,F,20,n,n,n,y,n,n,n,n,n
519,F,20,n,n,n,y,n,n,n,n,n
520,F,20,n,n,n,y,n,n,n,n,n
521,F,20,n,n,n,y,n,n,n,n,n
522,F,20,n,n,n,n,y,n,n,n,n
523,F,20,n,n,n,n,n,y,n,n,n
524,F,20,n,n,n,n,n,n,y,n,n
525,F,20,n,n,n,n,n,n,n,y,n
526,F,20,n,n,n,n,n,n,n,y,n
527,F,20,n,n,n,n,n,n,n,y,n
528,F,20,n,n,n,n,n,n,n,n,y
529,F,20,n,n,n,n,n,n,n,n,y
530,F,25,y,n,n,n,n,n,n,n,n
531,F,25,y,n,n,n,n,n,n,n,n
532,F,25,y,n,n,n,n,n,n,n,n
533,F,25,y,n,n,n,n,n,n,n,n
534,F,25,y,n,n,n,n,n,n,n,n
535,F,25,y,n,n,n,n,n,n,n,n
536,F,25,y,n,n,n,n,n,n,n,n
537,F,25,y,n,n,n,n,n,n,n,n
538,F,25,y,n,n,n,n,n,n,n,n
539,F,25,y,n,n,n,n,n,n,n,n
540,F,25,y,n,n,n,n,n,n,n,n
541,F,25,y,n,n,n,n,n,n,n,n
542,F,25,y,n,n,n,n,n,n,n,n
543,F,25,y,n,n,n,n,n,n,n,n
544,F,25,y,n,n,n,n,n,n,n,n
545,F,25,n,y,n,n,n,n,n,n,n
546,F,25,n,n,y,n,n,n,n,n,n
547,F,25,n,n,n,y,n,n,n,n,n
548,F,25,n,n,n,y,n,n,n,n,n
549,F,25,n,n,n,y,n,n,n,n,n
550,F,25,n,n,n,y,n,n,n,n,n
551,F,25,n,n,n,n,y,n,n,n,n
552,F,25,n,n,n,n,n,y,n,n,n
553,F,25,n,n,n,n,n,n,y,n,n
554,F,25,n,n,n,n,n,n,n,y,n
555,F,25,n,n,n,n,n,n,n,y,n
556,F,25,n,n,n,n,n,n,n,y,n
557,F,25,n,n,n,n,n,n,n,n,y
558,F,25,n,n,n,n,n,n,n,n,y
559,F,25,n,n,n,n,n,n,n,n,y
560,F,30,y,n,n,n,n,n,n,n,n
561,F,30,y,n,n,n,n,n,n,n,n
562,F,30,y,n,n,n,n,n,n,n,n
563,F,30,y,n,n,n,n,n,n,n,n
564,F,30,y,n,n,n,n,n,n,n,n
565,F,30,y,n,n,n,n,n,n,n,n
566,F,30,y,n,n,n,n,n,n,n,n
567,F,30,y,n,n,n,n,n,n,n,n
568,F,30,y,n,n,n,n,n,n,n,n
569,F,30,y,n,n,n,n,n,n,n,n
570,F,30,y,n,n,n,n,n,n,n,n
571,F,30,y,n,n,n,n,n,n,n,n
572,F,30,y,n,n,n,n,n,n,n,n
573,F,30,y,n,n,n,n,n,n,n,n
574,F,30,y,n,n,n,n,n,n,n,n
575,F,30,y,n,n,n,n,n,n,n,n
576,F,30,y,n,n,n,n,n,n,n,n
577,F,30,y,n,n,n,n,n,n,n,n
578,F,30,n,y,n,n,n,n,n,n,n
579,F,30,n,n,y,n,n,n,n,n,n
580,F,30,n,n,y,n,n,n,n,n,n
